theta (rad),r (-),radial mach,tangential mach,mach number,x,y
0.831344,0.957077,0.952989,-1.045717,1.414818,0.644958,0.707124
0.831638,0.956820,0.952681,-1.046000,1.414820,0.644577,0.707124
0.831933,0.956563,0.952373,-1.046283,1.414822,0.644196,0.707125
0.832228,0.956307,0.952064,-1.046566,1.414824,0.643815,0.707125
0.832522,0.956051,0.951756,-1.046849,1.414826,0.643434,0.707125
0.832817,0.955795,0.951448,-1.047131,1.414827,0.643054,0.707125
0.833111,0.955539,0.951139,-1.047414,1.414829,0.642673,0.707125
0.833406,0.955284,0.950831,-1.047696,1.414831,0.642293,0.707125
0.833700,0.955029,0.950522,-1.047979,1.414833,0.641914,0.707126
0.833995,0.954774,0.950213,-1.048261,1.414835,0.641534,0.707126
0.834289,0.954519,0.949905,-1.048543,1.414836,0.641154,0.707126
0.834584,0.954264,0.949596,-1.048826,1.414838,0.640775,0.707126
0.834878,0.954010,0.949287,-1.049108,1.414840,0.640396,0.707126
0.835173,0.953756,0.948978,-1.049390,1.414842,0.640017,0.707126
0.835467,0.953502,0.948669,-1.049671,1.414844,0.639639,0.707127
0.835762,0.953248,0.948359,-1.049953,1.414845,0.639260,0.707127
0.836056,0.952995,0.948050,-1.050235,1.414847,0.638882,0.707127
0.836351,0.952741,0.947741,-1.050516,1.414849,0.638504,0.707127
0.836645,0.952488,0.947431,-1.050798,1.414851,0.638126,0.707127
0.836940,0.952236,0.947122,-1.051079,1.414852,0.637749,0.707127
0.837234,0.951983,0.946812,-1.051360,1.414854,0.637371,0.707128
0.837529,0.951731,0.946503,-1.051641,1.414856,0.636994,0.707128
0.837823,0.951478,0.946193,-1.051922,1.414857,0.636617,0.707128
0.838118,0.951226,0.945883,-1.052203,1.414859,0.636240,0.707128
0.838413,0.950975,0.945573,-1.052484,1.414861,0.635864,0.707128
0.838707,0.950723,0.945263,-1.052765,1.414863,0.635487,0.707128
0.839002,0.950472,0.944953,-1.053046,1.414864,0.635111,0.707129
0.839296,0.950221,0.944643,-1.053326,1.414866,0.634735,0.707129
0.839591,0.949970,0.944332,-1.053607,1.414868,0.634359,0.707129
0.839885,0.949719,0.944022,-1.053887,1.414869,0.633983,0.707129
0.840180,0.949469,0.943712,-1.054167,1.414871,0.633608,0.707129
0.840474,0.949218,0.943401,-1.054447,1.414873,0.633233,0.707129
0.840769,0.948968,0.943091,-1.054727,1.414874,0.632858,0.707130
0.841063,0.948719,0.942780,-1.055007,1.414876,0.632483,0.707130
0.841358,0.948469,0.942469,-1.055287,1.414878,0.632108,0.707130
0.841652,0.948220,0.942158,-1.055567,1.414879,0.631734,0.707130
0.841947,0.947971,0.941847,-1.055847,1.414881,0.631360,0.707130
0.842241,0.947722,0.941536,-1.056126,1.414883,0.630986,0.707130
0.842536,0.947473,0.941225,-1.056406,1.414884,0.630612,0.707131
0.842830,0.947224,0.940914,-1.056685,1.414886,0.630238,0.707131
0.843125,0.946976,0.940603,-1.056964,1.414888,0.629865,0.707131
0.843419,0.946728,0.940291,-1.057244,1.414889,0.629491,0.707131
0.843714,0.946480,0.939980,-1.057523,1.414891,0.629118,0.707131
0.844009,0.946232,0.939668,-1.057802,1.414893,0.628745,0.707131
0.844303,0.945985,0.939357,-1.058080,1.414894,0.628373,0.707132
0.844598,0.945738,0.939045,-1.058359,1.414896,0.628000,0.707132
0.844892,0.945491,0.938733,-1.058638,1.414897,0.627628,0.707132
0.845187,0.945244,0.938422,-1.058916,1.414899,0.627256,0.707132
0.845481,0.944997,0.938110,-1.059195,1.414901,0.626884,0.707132
